SKU,Name,Cost,Qty,Category
TEST-SKU-0046,Test Product 46,31.23,90,Bakery
TEST-SKU-0047,Test Product 47,31.74,79,Vegetables
TEST-SKU-0048,Test Product 48,30.85,73,Fruits
TEST-SKU-0049,Test Product 49,1.02,195,Bakery
TEST-SKU-0050,Test Product 50,4.04,155,Dairy
TEST-SKU-0051,Test Product 51,29.61,48,Meat
TEST-SKU-0052,Test Product 52,34.7,149,Fruits
TEST-SKU-0053,Test Product 53,10.95,85,Meat
TEST-SKU-0054,Test Product 54,20.72,24,Vegetables
TEST-SKU-0055,Test Product 55,39.0,31,Meat
TEST-SKU-0056,Test Product 56,6.4,128,Fruits
TEST-SKU-0057,Test Product 57,41.11,126,Meat
TEST-SKU-0058,Test Product 58,25.21,198,Fruits
TEST-SKU-0059,Test Product 59,11.61,92,Pantry
TEST-SKU-0060,Test Product 60,13.36,49,Dairy
TEST-SKU-0061,Test Product 61,7.79,89,Dairy
TEST-SKU-0062,Test Product 62,11.69,24,Bakery
TEST-SKU-0063,Test Product 63,48.88,109,Bakery
TEST-SKU-0064,Test Product 64,29.27,124,Bakery
TEST-SKU-0065,Test Product 65,15.91,88,Pantry
TEST-SKU-0066,Test Product 66,1.64,13,Dairy
TEST-SKU-0067,Test Product 67,44.68,113,Fruits
TEST-SKU-0068,Test Product 68,22.38,120,Dairy
TEST-SKU-0069,Test Product 69,1.75,77,Snacks
TEST-SKU-0070,Test Product 70,23.47,100,Snacks
TEST-SKU-0071,Test Product 71,44.25,42,Dairy
TEST-SKU-0072,Test Product 72,45.95,42,Vegetables
TEST-SKU-0073,Test Product 73,15.08,154,Beverages
TEST-SKU-0074,Test Product 74,38.9,89,Meat
TEST-SKU-0075,Test Product 75,45.04,151,Fruits
TEST-SKU-0076,Test Product 76,40.36,11,Meat
TEST-SKU-0077,Test Product 77,42.74,65,Vegetables
TEST-SKU-0078,Test Product 78,17.76,62,Snacks
TEST-SKU-0079,Test Product 79,26.23,92,Dairy
TEST-SKU-0080,Test Product 80,45.24,144,Snacks
TEST-SKU-0081,Test Product 81,13.81,115,Vegetables
TEST-SKU-0082,Test Product 82,7.71,149,Bakery
TEST-SKU-0083,Test Product 83,44.01,146,Snacks
TEST-SKU-0084,Test Product 84,44.12,160,Dairy
TEST-SKU-0085,Test Product 85,49.37,143,Beverages
TEST-SKU-0086,Test Product 86,48.04,90,Vegetables
TEST-SKU-0087,Test Product 87,45.91,49,Bakery
TEST-SKU-0088,Test Product 88,2.59,85,Pantry
TEST-SKU-0089,Test Product 89,27.64,125,Vegetables
TEST-SKU-0090,Test Product 90,4.74,168,Meat
TEST-SKU-0091,Test Product 91,10.52,191,Dairy
TEST-SKU-0092,Test Product 92,32.02,62,Pantry
TEST-SKU-0093,Test Product 93,11.17,57,Beverages
TEST-SKU-0094,Test Product 94,19.74,75,Dairy
TEST-SKU-0095,Test Product 95,38.61,162,Bakery
TEST-SKU-0096,Test Product 96,40.76,192,Bakery
TEST-SKU-0097,Test Product 97,35.9,11,Snacks
TEST-SKU-0098,Test Product 98,29.12,57,Bakery
TEST-SKU-0099,Test Product 99,43.65,49,Vegetables
TEST-SKU-0100,Test Product 100,19.12,110,Bakery
TEST-SKU-0101,Test Product 101,1.14,118,Meat
TEST-SKU-0102,Test Product 102,26.79,20,Dairy
TEST-SKU-0103,Test Product 103,34.54,111,Vegetables
TEST-SKU-0104,Test Product 104,37.46,122,Pantry
TEST-SKU-0105,Test Product 105,24.32,17,Meat
TEST-SKU-0106,Test Product 106,16.9,158,Pantry
TEST-SKU-0107,Test Product 107,19.14,110,Vegetables
TEST-SKU-0108,Test Product 108,7.72,15,Fruits
TEST-SKU-0109,Test Product 109,34.94,19,Vegetables
TEST-SKU-0110,Test Product 110,22.84,103,Snacks
TEST-SKU-0111,Test Product 111,40.62,131,Pantry
TEST-SKU-0112,Test Product 112,17.0,58,Fruits
TEST-SKU-0113,Test Product 113,27.53,169,Beverages
TEST-SKU-0114,Test Product 114,24.11,129,Beverages
TEST-SKU-0115,Test Product 115,33.02,166,Dairy
TEST-SKU-0116,Test Product 116,18.83,107,Dairy
TEST-SKU-0117,Test Product 117,24.72,73,Fruits
TEST-SKU-0118,Test Product 118,46.6,39,Beverages
TEST-SKU-0119,Test Product 119,16.06,12,Vegetables
TEST-SKU-0120,Test Product 120,16.27,103,Bakery
TEST-SKU-0121,Test Product 121,5.97,141,Snacks
TEST-SKU-0122,Test Product 122,19.87,20,Dairy
TEST-SKU-0123,Test Product 123,26.31,152,Vegetables
TEST-SKU-0124,Test Product 124,22.77,19,Bakery
TEST-SKU-0125,Test Product 125,14.73,112,Snacks
TEST-SKU-0126,Test Product 126,9.41,165,Meat
TEST-SKU-0127,Test Product 127,34.36,168,Fruits
TEST-SKU-0128,Test Product 128,18.91,112,Vegetables
TEST-SKU-0129,Test Product 129,19.76,156,Bakery
TEST-SKU-0130,Test Product 130,24.4,166,Dairy
TEST-SKU-0131,Test Product 131,15.97,154,Snacks
TEST-SKU-0132,Test Product 132,4.17,21,Dairy
TEST-SKU-0133,Test Product 133,48.1,19,Fruits
TEST-SKU-0134,Test Product 134,2.24,196,Pantry
TEST-SKU-0135,Test Product 135,13.51,180,Dairy
TEST-SKU-0136,Test Product 136,23.66,44,Bakery
TEST-SKU-0137,Test Product 137,20.7,34,Bakery
TEST-SKU-0138,Test Product 138,29.44,62,Fruits
TEST-SKU-0139,Test Product 139,26.24,83,Dairy
TEST-SKU-0140,Test Product 140,42.41,18,Pantry
TEST-SKU-0141,Test Product 141,23.6,75,Bakery
TEST-SKU-0142,Test Product 142,48.1,149,Bakery
TEST-SKU-0143,Test Product 143,41.93,121,Meat
TEST-SKU-0144,Test Product 144,42.68,140,Meat
TEST-SKU-0145,Test Product 145,2.78,149,Beverages
TEST-SKU-0146,Test Product 146,46.88,167,Fruits
TEST-SKU-0147,Test Product 147,23.28,71,Dairy
TEST-SKU-0148,Test Product 148,20.04,142,Vegetables
TEST-SKU-0149,Test Product 149,23.83,172,Beverages
TEST-SKU-0150,Test Product 150,33.33,142,Dairy
TEST-SKU-0151,Test Product 151,30.53,178,Pantry
TEST-SKU-0152,Test Product 152,27.87,171,Bakery
TEST-SKU-0153,Test Product 153,45.63,116,Bakery
TEST-SKU-0154,Test Product 154,44.24,186,Dairy
TEST-SKU-0155,Test Product 155,2.8,105,Dairy
TEST-SKU-0156,Test Product 156,21.91,86,Fruits
TEST-SKU-0157,Test Product 157,7.81,106,Fruits
TEST-SKU-0158,Test Product 158,45.83,74,Bakery
TEST-SKU-0159,Test Product 159,31.21,178,Beverages
TEST-SKU-0160,Test Product 160,17.81,61,Meat
TEST-SKU-0161,Test Product 161,39.56,21,Meat
TEST-SKU-0162,Test Product 162,43.92,122,Meat
TEST-SKU-0163,Test Product 163,26.75,73,Vegetables
TEST-SKU-0164,Test Product 164,15.19,89,Snacks
TEST-SKU-0165,Test Product 165,6.56,187,Pantry
TEST-SKU-0166,Test Product 166,13.0,200,Pantry
TEST-SKU-0167,Test Product 167,46.22,47,Fruits
TEST-SKU-0168,Test Product 168,46.84,113,Snacks
TEST-SKU-0169,Test Product 169,40.01,75,Pantry
TEST-SKU-0170,Test Product 170,2.46,95,Vegetables
TEST-SKU-0171,Test Product 171,7.95,107,Pantry
TEST-SKU-0172,Test Product 172,29.36,48,Beverages
TEST-SKU-0173,Test Product 173,6.52,175,Fruits
TEST-SKU-0174,Test Product 174,23.98,12,Fruits
TEST-SKU-0175,Test Product 175,39.23,10,Pantry
TEST-SKU-0176,Test Product 176,20.25,64,Meat
TEST-SKU-0177,Test Product 177,22.81,51,Fruits
TEST-SKU-0178,Test Product 178,10.14,160,Vegetables
TEST-SKU-0179,Test Product 179,19.58,52,Vegetables
TEST-SKU-0180,Test Product 180,7.23,37,Pantry
TEST-SKU-0181,Test Product 181,12.14,29,Meat
TEST-SKU-0182,Test Product 182,1.62,94,Meat
TEST-SKU-0183,Test Product 183,19.1,157,Vegetables
TEST-SKU-0184,Test Product 184,17.45,90,Fruits
TEST-SKU-0185,Test Product 185,45.7,46,Dairy
TEST-SKU-0186,Test Product 186,19.43,72,Pantry
TEST-SKU-0187,Test Product 187,31.06,136,Beverages
TEST-SKU-0188,Test Product 188,44.11,181,Beverages
TEST-SKU-0189,Test Product 189,24.61,157,Snacks
TEST-SKU-0190,Test Product 190,24.93,69,Pantry
TEST-SKU-0191,Test Product 191,6.27,178,Bakery
TEST-SKU-0192,Test Product 192,30.81,53,Bakery
TEST-SKU-0193,Test Product 193,24.23,161,Pantry
TEST-SKU-0194,Test Product 194,33.2,105,Pantry
TEST-SKU-0195,Test Product 195,42.94,174,Dairy
TEST-SKU-0196,Test Product 196,25.0,47,Snacks
TEST-SKU-0197,Test Product 197,15.31,165,Bakery
TEST-SKU-0198,Test Product 198,40.19,195,Fruits
TEST-SKU-0199,Test Product 199,20.32,195,Bakery
TEST-SKU-0200,Test Product 200,23.07,21,Pantry
TEST-SKU-0201,Test Product 201,37.76,33,Bakery
TEST-SKU-0202,Test Product 202,39.42,37,Bakery
TEST-SKU-0203,Test Product 203,19.9,132,Vegetables
TEST-SKU-0204,Test Product 204,31.25,71,Beverages
TEST-SKU-0205,Test Product 205,19.87,52,Meat
TEST-SKU-0206,Test Product 206,40.68,117,Dairy
TEST-SKU-0207,Test Product 207,18.17,198,Pantry
TEST-SKU-0208,Test Product 208,8.66,88,Fruits
TEST-SKU-0209,Test Product 209,19.23,173,Vegetables
TEST-SKU-0210,Test Product 210,26.87,70,Dairy
TEST-SKU-0211,Test Product 211,9.5,107,Snacks
TEST-SKU-0212,Test Product 212,12.12,151,Bakery
TEST-SKU-0213,Test Product 213,6.15,106,Beverages
TEST-SKU-0214,Test Product 214,10.87,106,Bakery
TEST-SKU-0215,Test Product 215,8.6,163,Snacks
TEST-SKU-0216,Test Product 216,41.9,198,Beverages
TEST-SKU-0217,Test Product 217,21.8,166,Beverages
TEST-SKU-0218,Test Product 218,6.22,117,Vegetables
TEST-SKU-0219,Test Product 219,49.18,123,Bakery
TEST-SKU-0220,Test Product 220,35.65,116,Pantry
TEST-SKU-0221,Test Product 221,36.55,193,Snacks
TEST-SKU-0222,Test Product 222,26.48,142,Dairy
TEST-SKU-0223,Test Product 223,46.8,134,Fruits
TEST-SKU-0224,Test Product 224,47.19,140,Beverages
TEST-SKU-0225,Test Product 225,24.72,197,Bakery
TEST-SKU-0226,Test Product 226,25.71,188,Fruits
TEST-SKU-0227,Test Product 227,49.58,174,Snacks
TEST-SKU-0228,Test Product 228,16.98,169,Dairy
TEST-SKU-0229,Test Product 229,29.33,43,Pantry
TEST-SKU-0230,Test Product 230,47.6,175,Beverages
TEST-SKU-0231,Test Product 231,6.47,28,Dairy
TEST-SKU-0232,Test Product 232,41.95,132,Fruits
TEST-SKU-0233,Test Product 233,14.9,178,Beverages
TEST-SKU-0234,Test Product 234,2.39,157,Vegetables
TEST-SKU-0235,Test Product 235,14.93,157,Pantry
TEST-SKU-0236,Test Product 236,38.25,46,Vegetables
TEST-SKU-0237,Test Product 237,16.81,46,Bakery
TEST-SKU-0238,Test Product 238,49.2,91,Pantry
TEST-SKU-0239,Test Product 239,8.42,73,Pantry
TEST-SKU-0240,Test Product 240,11.34,183,Meat
TEST-SKU-0241,Test Product 241,37.34,84,Dairy
TEST-SKU-0242,Test Product 242,49.31,152,Meat
TEST-SKU-0243,Test Product 243,25.21,142,Dairy
TEST-SKU-0244,Test Product 244,30.24,172,Meat
TEST-SKU-0245,Test Product 245,28.19,52,Pantry
TEST-SKU-0246,Test Product 246,9.32,144,Dairy
TEST-SKU-0247,Test Product 247,9.74,35,Fruits
TEST-SKU-0248,Test Product 248,49.21,49,Fruits
TEST-SKU-0249,Test Product 249,6.22,177,Dairy
TEST-SKU-0250,Test Product 250,46.45,63,Snacks
TEST-SKU-0251,Test Product 251,12.28,178,Vegetables
TEST-SKU-0252,Test Product 252,47.04,172,Vegetables
TEST-SKU-0253,Test Product 253,20.01,110,Pantry
TEST-SKU-0254,Test Product 254,32.27,61,Beverages
TEST-SKU-0255,Test Product 255,23.13,109,Meat
TEST-SKU-0256,Test Product 256,23.08,12,Pantry
TEST-SKU-0257,Test Product 257,28.31,161,Meat
TEST-SKU-0258,Test Product 258,21.12,47,Bakery
TEST-SKU-0259,Test Product 259,43.96,160,Dairy
TEST-SKU-0260,Test Product 260,33.26,73,Meat
TEST-SKU-0261,Test Product 261,14.88,151,Vegetables
TEST-SKU-0262,Test Product 262,27.96,149,Meat
TEST-SKU-0263,Test Product 263,2.16,108,Bakery
TEST-SKU-0264,Test Product 264,14.52,152,Fruits
TEST-SKU-0265,Test Product 265,34.19,193,Dairy
TEST-SKU-0266,Test Product 266,39.82,156,Snacks
TEST-SKU-0267,Test Product 267,46.34,117,Meat
TEST-SKU-0268,Test Product 268,12.75,45,Pantry
TEST-SKU-0269,Test Product 269,12.99,77,Meat
TEST-SKU-0270,Test Product 270,1.72,144,Pantry
TEST-SKU-0271,Test Product 271,22.44,71,Vegetables
TEST-SKU-0272,Test Product 272,27.3,123,Beverages
TEST-SKU-0273,Test Product 273,12.63,133,Snacks
TEST-SKU-0274,Test Product 274,1.04,151,Pantry
TEST-SKU-0275,Test Product 275,25.21,73,Meat
TEST-SKU-0276,Test Product 276,4.52,113,Fruits
TEST-SKU-0277,Test Product 277,1.51,70,Bakery
TEST-SKU-0278,Test Product 278,24.89,37,Fruits
TEST-SKU-0279,Test Product 279,34.78,79,Beverages
TEST-SKU-0280,Test Product 280,23.6,17,Vegetables
TEST-SKU-0281,Test Product 281,15.6,183,Vegetables
TEST-SKU-0282,Test Product 282,2.04,83,Bakery
TEST-SKU-0283,Test Product 283,20.05,109,Bakery
TEST-SKU-0284,Test Product 284,39.94,75,Meat
TEST-SKU-0285,Test Product 285,44.05,181,Dairy
TEST-SKU-0286,Test Product 286,32.27,17,Snacks
TEST-SKU-0287,Test Product 287,36.64,119,Pantry
TEST-SKU-0288,Test Product 288,15.0,196,Beverages
TEST-SKU-0289,Test Product 289,1.62,192,Dairy
TEST-SKU-0290,Test Product 290,20.89,100,Vegetables
TEST-SKU-0291,Test Product 291,8.41,107,Vegetables
TEST-SKU-0292,Test Product 292,38.65,170,Snacks
TEST-SKU-0293,Test Product 293,45.27,76,Meat
TEST-SKU-0294,Test Product 294,11.63,175,Beverages
TEST-SKU-0295,Test Product 295,3.77,138,Dairy
TEST-SKU-0296,Test Product 296,18.02,66,Vegetables
TEST-SKU-0297,Test Product 297,30.11,134,Vegetables
TEST-SKU-0298,Test Product 298,16.22,148,Bakery
TEST-SKU-0299,Test Product 299,39.98,108,Fruits
TEST-SKU-0300,Test Product 300,42.67,42,Bakery
TEST-SKU-0301,Test Product 301,1.91,124,Pantry
TEST-SKU-0302,Test Product 302,48.84,123,Fruits
TEST-SKU-0303,Test Product 303,43.02,77,Fruits
TEST-SKU-0304,Test Product 304,2.47,111,Snacks
TEST-SKU-0305,Test Product 305,34.81,157,Pantry
TEST-SKU-0306,Test Product 306,18.16,24,Meat
TEST-SKU-0307,Test Product 307,12.76,48,Meat
TEST-SKU-0308,Test Product 308,49.48,179,Bakery
TEST-SKU-0309,Test Product 309,11.47,121,Meat
TEST-SKU-0310,Test Product 310,23.0,142,Fruits
TEST-SKU-0311,Test Product 311,34.73,63,Snacks
TEST-SKU-0312,Test Product 312,2.74,47,Bakery
TEST-SKU-0313,Test Product 313,47.1,196,Pantry
TEST-SKU-0314,Test Product 314,20.32,121,Bakery
TEST-SKU-0315,Test Product 315,38.19,81,Snacks
TEST-SKU-0316,Test Product 316,25.48,107,Beverages
TEST-SKU-0317,Test Product 317,11.47,33,Pantry
TEST-SKU-0318,Test Product 318,32.38,102,Fruits
TEST-SKU-0319,Test Product 319,34.76,198,Beverages
TEST-SKU-0320,Test Product 320,3.3,176,Vegetables
TEST-SKU-0321,Test Product 321,38.45,62,Meat
TEST-SKU-0322,Test Product 322,27.67,84,Snacks
TEST-SKU-0323,Test Product 323,22.96,134,Vegetables
TEST-SKU-0324,Test Product 324,38.77,22,Pantry
TEST-SKU-0325,Test Product 325,38.67,170,Beverages
TEST-SKU-0326,Test Product 326,5.6,91,Vegetables
TEST-SKU-0327,Test Product 327,42.95,25,Vegetables
TEST-SKU-0328,Test Product 328,4.11,139,Vegetables
TEST-SKU-0329,Test Product 329,7.72,189,Fruits
TEST-SKU-0330,Test Product 330,8.58,153,Pantry
TEST-SKU-0331,Test Product 331,29.26,175,Fruits
TEST-SKU-0332,Test Product 332,49.02,168,Meat
TEST-SKU-0333,Test Product 333,40.85,41,Bakery
TEST-SKU-0334,Test Product 334,48.36,182,Vegetables
TEST-SKU-0335,Test Product 335,14.24,108,Meat
TEST-SKU-0336,Test Product 336,15.5,78,Meat
TEST-SKU-0337,Test Product 337,4.01,15,Pantry
TEST-SKU-0338,Test Product 338,18.35,25,Pantry
TEST-SKU-0339,Test Product 339,46.89,123,Fruits
TEST-SKU-0340,Test Product 340,19.39,16,Dairy
TEST-SKU-0341,Test Product 341,15.5,156,Meat
TEST-SKU-0342,Test Product 342,20.45,181,Snacks
TEST-SKU-0343,Test Product 343,10.68,25,Meat
TEST-SKU-0344,Test Product 344,44.59,194,Meat
TEST-SKU-0345,Test Product 345,10.97,78,Beverages
TEST-SKU-0346,Test Product 346,12.97,52,Vegetables
TEST-SKU-0347,Test Product 347,18.23,121,Meat
TEST-SKU-0348,Test Product 348,26.27,137,Beverages
TEST-SKU-0349,Test Product 349,5.79,67,Fruits
TEST-SKU-0350,Test Product 350,4.7,136,Pantry
TEST-SKU-0351,Test Product 351,7.81,158,Snacks
TEST-SKU-0352,Test Product 352,3.54,111,Fruits
TEST-SKU-0353,Test Product 353,10.37,148,Dairy
TEST-SKU-0354,Test Product 354,21.37,150,Bakery
TEST-SKU-0355,Test Product 355,2.72,115,Bakery
TEST-SKU-0356,Test Product 356,7.75,28,Meat
TEST-SKU-0357,Test Product 357,6.61,63,Dairy
TEST-SKU-0358,Test Product 358,28.56,74,Snacks
TEST-SKU-0359,Test Product 359,20.68,145,Pantry
TEST-SKU-0360,Test Product 360,32.39,91,Vegetables
TEST-SKU-0361,Test Product 361,32.18,183,Meat
TEST-SKU-0362,Test Product 362,10.42,187,Fruits
TEST-SKU-0363,Test Product 363,19.6,74,Snacks
TEST-SKU-0364,Test Product 364,13.63,163,Vegetables
TEST-SKU-0365,Test Product 365,16.83,12,Fruits
TEST-SKU-0366,Test Product 366,29.48,35,Dairy
TEST-SKU-0367,Test Product 367,28.97,164,Dairy
TEST-SKU-0368,Test Product 368,25.49,26,Bakery
TEST-SKU-0369,Test Product 369,49.73,182,Meat
TEST-SKU-0370,Test Product 370,28.7,138,Bakery
TEST-SKU-0371,Test Product 371,49.56,69,Dairy
TEST-SKU-0372,Test Product 372,7.68,17,Fruits
TEST-SKU-0373,Test Product 373,6.23,134,Bakery
TEST-SKU-0374,Test Product 374,12.78,41,Vegetables
TEST-SKU-0375,Test Product 375,12.86,156,Meat
TEST-SKU-0376,Test Product 376,1.84,109,Vegetables
TEST-SKU-0377,Test Product 377,12.25,192,Beverages
TEST-SKU-0378,Test Product 378,25.94,169,Dairy
TEST-SKU-0379,Test Product 379,39.37,123,Snacks
TEST-SKU-0380,Test Product 380,20.31,60,Dairy
TEST-SKU-0381,Test Product 381,21.25,111,Vegetables
TEST-SKU-0382,Test Product 382,9.43,38,Snacks
TEST-SKU-0383,Test Product 383,32.75,46,Fruits
TEST-SKU-0384,Test Product 384,21.51,146,Meat
TEST-SKU-0385,Test Product 385,43.03,105,Bakery
TEST-SKU-0386,Test Product 386,43.24,122,Fruits
TEST-SKU-0387,Test Product 387,20.73,42,Snacks
TEST-SKU-0388,Test Product 388,26.33,122,Pantry
TEST-SKU-0389,Test Product 389,17.05,180,Vegetables
TEST-SKU-0390,Test Product 390,33.26,69,Meat
TEST-SKU-0391,Test Product 391,19.19,25,Fruits
TEST-SKU-0392,Test Product 392,21.16,126,Meat
TEST-SKU-0393,Test Product 393,18.97,188,Snacks
TEST-SKU-0394,Test Product 394,18.05,148,Snacks
TEST-SKU-0395,Test Product 395,1.49,12,Beverages
TEST-SKU-0396,Test Product 396,41.22,101,Beverages
TEST-SKU-0397,Test Product 397,49.75,122,Beverages
TEST-SKU-0398,Test Product 398,8.77,101,Snacks
TEST-SKU-0399,Test Product 399,5.28,149,Beverages
TEST-SKU-0400,Test Product 400,2.3,180,Pantry
TEST-SKU-0401,Test Product 401,23.28,86,Fruits
TEST-SKU-0402,Test Product 402,8.27,65,Bakery
TEST-SKU-0403,Test Product 403,48.01,20,Vegetables
TEST-SKU-0404,Test Product 404,11.72,183,Bakery
TEST-SKU-0405,Test Product 405,24.14,105,Bakery
TEST-SKU-0406,Test Product 406,43.95,156,Pantry
TEST-SKU-0407,Test Product 407,11.79,61,Vegetables
TEST-SKU-0408,Test Product 408,2.55,21,Meat
TEST-SKU-0409,Test Product 409,17.26,13,Bakery
TEST-SKU-0410,Test Product 410,30.4,31,Pantry
TEST-SKU-0411,Test Product 411,6.17,173,Meat
TEST-SKU-0412,Test Product 412,48.06,16,Vegetables
TEST-SKU-0413,Test Product 413,18.52,193,Bakery
TEST-SKU-0414,Test Product 414,20.46,188,Beverages
TEST-SKU-0415,Test Product 415,26.06,88,Dairy
TEST-SKU-0416,Test Product 416,2.6,22,Snacks
TEST-SKU-0417,Test Product 417,14.65,168,Pantry
TEST-SKU-0418,Test Product 418,44.66,108,Bakery
TEST-SKU-0419,Test Product 419,6.21,116,Pantry
TEST-SKU-0420,Test Product 420,5.95,175,Vegetables
TEST-SKU-0421,Test Product 421,7.98,130,Bakery
TEST-SKU-0422,Test Product 422,13.19,24,Pantry
TEST-SKU-0423,Test Product 423,44.3,18,Pantry
TEST-SKU-0424,Test Product 424,29.73,100,Beverages
TEST-SKU-0425,Test Product 425,24.51,58,Vegetables
TEST-SKU-0426,Test Product 426,18.46,161,Meat
TEST-SKU-0427,Test Product 427,1.21,24,Snacks
TEST-SKU-0428,Test Product 428,7.69,142,Pantry
TEST-SKU-0429,Test Product 429,12.01,143,Pantry
TEST-SKU-0430,Test Product 430,8.04,133,Snacks
TEST-SKU-0431,Test Product 431,11.38,61,Fruits
TEST-SKU-0432,Test Product 432,40.89,69,Bakery
TEST-SKU-0433,Test Product 433,34.07,162,Fruits
TEST-SKU-0434,Test Product 434,10.55,80,Pantry
TEST-SKU-0435,Test Product 435,29.63,68,Vegetables
TEST-SKU-0436,Test Product 436,3.22,57,Meat
TEST-SKU-0437,Test Product 437,26.34,129,Snacks
TEST-SKU-0438,Test Product 438,20.75,91,Vegetables
TEST-SKU-0439,Test Product 439,28.57,46,Beverages
TEST-SKU-0440,Test Product 440,20.76,99,Meat
TEST-SKU-0441,Test Product 441,15.83,192,Dairy
TEST-SKU-0442,Test Product 442,36.4,198,Snacks
TEST-SKU-0443,Test Product 443,6.71,172,Snacks
TEST-SKU-0444,Test Product 444,46.81,174,Meat
TEST-SKU-0445,Test Product 445,49.74,60,Beverages
TEST-SKU-0446,Test Product 446,24.31,33,Fruits
TEST-SKU-0447,Test Product 447,30.85,71,Meat
TEST-SKU-0448,Test Product 448,5.41,156,Bakery
TEST-SKU-0449,Test Product 449,43.59,184,Bakery
TEST-SKU-0450,Test Product 450,10.3,113,Bakery
TEST-SKU-0451,Test Product 451,21.66,143,Snacks
TEST-SKU-0452,Test Product 452,5.03,186,Meat
TEST-SKU-0453,Test Product 453,28.59,78,Beverages
TEST-SKU-0454,Test Product 454,41.73,97,Fruits
TEST-SKU-0455,Test Product 455,17.5,165,Pantry
TEST-SKU-0456,Test Product 456,38.54,66,Fruits
TEST-SKU-0457,Test Product 457,32.31,187,Fruits
TEST-SKU-0458,Test Product 458,15.86,34,Meat
TEST-SKU-0459,Test Product 459,24.1,147,Vegetables
TEST-SKU-0460,Test Product 460,44.37,99,Snacks
TEST-SKU-0461,Test Product 461,44.7,156,Meat
TEST-SKU-0462,Test Product 462,30.32,81,Beverages
TEST-SKU-0463,Test Product 463,41.78,90,Fruits
TEST-SKU-0464,Test Product 464,47.16,76,Beverages
TEST-SKU-0465,Test Product 465,34.56,131,Snacks
TEST-SKU-0466,Test Product 466,29.11,194,Meat
TEST-SKU-0467,Test Product 467,16.98,83,Meat
TEST-SKU-0468,Test Product 468,10.75,170,Beverages
TEST-SKU-0469,Test Product 469,47.22,77,Snacks
TEST-SKU-0470,Test Product 470,25.83,180,Fruits
TEST-SKU-0471,Test Product 471,7.38,92,Dairy
TEST-SKU-0472,Test Product 472,45.14,84,Bakery
TEST-SKU-0473,Test Product 473,4.47,129,Snacks
TEST-SKU-0474,Test Product 474,36.57,144,Meat
TEST-SKU-0475,Test Product 475,9.98,192,Dairy
TEST-SKU-0476,Test Product 476,28.38,19,Fruits
TEST-SKU-0477,Test Product 477,31.22,110,Vegetables
TEST-SKU-0478,Test Product 478,46.54,15,Dairy
TEST-SKU-0479,Test Product 479,12.15,21,Vegetables
TEST-SKU-0480,Test Product 480,20.46,93,Bakery
TEST-SKU-0481,Test Product 481,35.75,120,Bakery
